Epoch 176 : Train Loss 0.026700 , Train acc 0.026709, Valid acc 0.026826
Epoch 178 : Train Loss 0.026664 , Train acc 0.026646, Valid acc 0.026855
Epoch 180 : Train Loss 0.026608 , Train acc 0.026591, Valid acc 0.026779
Epoch 182 : Train Loss 0.026562 , Train acc 0.026546, Valid acc 0.026763
Epoch 184 : Train Loss 0.026525 , Train acc 0.026506, Valid acc 0.026588
Epoch 186 : Train Loss 0.026478 , Train acc 0.026472, Valid acc 0.026512
Epoch 188 : Train Loss 0.026436 , Train acc 0.026444, Valid acc 0.026569
Epoch 190 : Train Loss 0.026394 , Train acc 0.026382, Valid acc 0.026576
Epoch 192 : Train Loss 0.026350 , Train acc 0.026337, Valid acc 0.026478
Epoch 194 : Train Loss 0.026296 , Train acc 0.026283, Valid acc 0.026389
Epoch 196 : Train Loss 0.026268 , Train acc 0.026253, Valid acc 0.026288
Epoch 198 : Train Loss 0.026234 , Train acc 0.026204, Valid acc 0.026291
Epoch 200 : Train Loss 0.026196 , Train acc 0.026176, Valid acc 0.026263
Epoch 202 : Train Loss 0.026152 , Train acc 0.026131, Valid acc 0.026308
Epoch 204 : Train Loss 0.026117 , Train acc 0.026098, Valid acc 0.026341
Epoch 206 : Train Loss 0.026064 , Train acc 0.026056, Valid acc 0.026223
Epoch 208 : Train Loss 0.026032 , Train acc 0.026017, Valid acc 0.026139
Epoch 210 : Train Loss 0.025998 , Train acc 0.025995, Valid acc 0.026167
Epoch 212 : Train Loss 0.025951 , Train acc 0.025926, Valid acc 0.026152
Epoch 214 : Train Loss 0.025927 , Train acc 0.025906, Valid acc 0.026146
Epoch 216 : Train Loss 0.025881 , Train acc 0.025870, Valid acc 0.026056
Epoch 218 : Train Loss 0.025865 , Train acc 0.025854, Valid acc 0.025935
Epoch 220 : Train Loss 0.025817 , Train acc 0.025801, Valid acc 0.025977
Epoch 222 : Train Loss 0.025773 , Train acc 0.025766, Valid acc 0.025885
Epoch 224 : Train Loss 0.025755 , Train acc 0.025735, Valid acc 0.025749
Epoch 226 : Train Loss 0.025714 , Train acc 0.025687, Valid acc 0.025875
Epoch 228 : Train Loss 0.025679 , Train acc 0.025655, Valid acc 0.025756
Epoch 230 : Train Loss 0.025653 , Train acc 0.025631, Valid acc 0.025674
Epoch 232 : Train Loss 0.025616 , Train acc 0.025600, Valid acc 0.025813
Epoch 234 : Train Loss 0.025577 , Train acc 0.025572, Valid acc 0.025658
Epoch 236 : Train Loss 0.025548 , Train acc 0.025532, Valid acc 0.025643
Epoch 238 : Train Loss 0.025522 , Train acc 0.025496, Valid acc 0.025663
Epoch 240 : Train Loss 0.025497 , Train acc 0.025481, Valid acc 0.025657
Epoch 242 : Train Loss 0.025459 , Train acc 0.025460, Valid acc 0.025591
Epoch 244 : Train Loss 0.025450 , Train acc 0.025422, Valid acc 0.025598
Epoch 246 : Train Loss 0.025403 , Train acc 0.025377, Valid acc 0.025558
Epoch 248 : Train Loss 0.025362 , Train acc 0.025345, Valid acc 0.025504
Epoch 250 : Train Loss 0.025330 , Train acc 0.025315, Valid acc 0.025341
Epoch 252 : Train Loss 0.025324 , Train acc 0.025288, Valid acc 0.025381
Epoch 254 : Train Loss 0.025271 , Train acc 0.025272, Valid acc 0.025628
Epoch 256 : Train Loss 0.025252 , Train acc 0.025240, Valid acc 0.025463
Epoch 258 : Train Loss 0.025209 , Train acc 0.025215, Valid acc 0.025377
